Taxon	
mgm4637825.3	
Tetrapyrroles	26706	
Three hypotheticals linked to lipoprotein biosynthesis	1459	
TldD cluster	3601	
Toxins and superantigens	491	
Transcription	46960	
Translation	6228	
Transposable elements	5595	
Triacylglycerols	500	
Tricarboxylate transporter	6801	
Two related proteases	6769	
Uni- Sym- and Antiporters	3244	
alpha-proteobacterial cluster of hypotheticals	1014	
proteosome related	4948	
recX and regulatory cluster	1880	
tRNA sulfuration	2581	

