Taxon	
mgm4637821.3	
Metabolism of central aromatic intermediates	25343	
Methylamine utilization	14061	
Molybdopterin oxidoreductase	3764	
Monosaccharides	75562	
NAD and NADP	19741	
Nucleotidyl-phosphate metabolic cluster	18492	
One-carbon Metabolism	91023	
Organic acids	42124	
Organic sulfur assimilation	16467	
Osmotic stress	15583	
Oxidative stress	42901	
Pathogenicity islands	11778	
Peripheral pathways for catabolism of aromatic compounds	44289	
Periplasmic Stress	2787	
Phages, Prophages	34500	
Phosphate metabolism	5244	
Phospholipids	28503	
Plant Alkaloids	773	
Plant Hormones	9723	
Plant Octadecanoids	23	
Plant-Prokaryote DOE project	309949	
Plasmid related functions	335	
Polysaccharides	20333	
Probably GTP or GMP signaling related	7639	
Probably Pyrimidine biosynthesis-related	2278	
Probably Ybbk-related hypothetical membrane proteins	1368	
Probably organic hydroperoxide resistance related hypothetical protein	873	
Programmed Cell Death and Toxin-antitoxin Systems	1832	
Proline and 4-hydroxyproline	14891	
Proteasome related clusters	74	
Protein and nucleoprotein secretion system, Type IV	6161	
Protein biosynthesis	172125	
Protein degradation	52557	
Protein export?	10753	
Protein folding	28901	
Protein processing and modification	46767	
Protein secretion system, Type I	596	
Protein secretion system, Type II	13160	
Protein secretion system, Type III	497	
Protein secretion system, Type V	128	
Protein secretion system, Type VI	10473	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	41	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	976	
Protein translocation across cytoplasmic membrane	16749	
Proteolytic pathway	62	
Purines	59993	
Putative GGDEF domain protein related to agglutinin secretion	269	
Putative Isoquinoline 1-oxidoreductase subunit	5816	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12171	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3692	
Pyridoxine	17542	
Pyrimidines	46056	
Pyruvate kinase associated cluster	3334	
Quinone cofactors	16469	
Quorum sensing and biofilm formation	3437	
RNA processing and modification	99810	
Recombination related cluster	1597	
Regulation of virulence	10642	
Related to Menaquinone-cytochrome C reductase 	433	
Resistance to antibiotics and toxic compounds	76476	
Reverse electron transport	147	
Riboflavin, FMN, FAD	7996	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6985	
Ribosome-related cluster	7019	
Sarcosine oxidase	1971	
Selenoproteins	16557	
Shiga toxin cluster	3533	
Siderophores	5733	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	101	
Sodium Ion-Coupled Energetics	584	
Spore DNA protection	4	
Sugar Phosphotransferase Systems, PTS	1838	
Sugar alcohols	26344	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6690	
Tetrapyrroles	26370	
Three hypotheticals linked to lipoprotein biosynthesis	1524	
TldD cluster	3458	
Toxins and superantigens	493	
Transcription	45349	
Translation	6126	
Transposable elements	5643	
Triacylglycerols	520	
Tricarboxylate transporter	6425	
Two related proteases	6811	
Uni- Sym- and Antiporters	3227	
alpha-proteobacterial cluster of hypotheticals	1008	
proteosome related	4453	
recX and regulatory cluster	1914	
tRNA sulfuration	2578	

