Taxon	
mgm4664912.3	
Sarcosine oxidase	1644	
Selenoproteins	11798	
Shiga toxin cluster	2324	
Siderophores	2685	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	66	
Sodium Ion-Coupled Energetics	375	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1303	
Sugar alcohols	19414	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4893	
Tetrapyrroles	18524	
Three hypotheticals linked to lipoprotein biosynthesis	1055	
TldD cluster	2364	
Toxins and superantigens	203	
Transcription	34608	
Translation	4041	
Transposable elements	3664	
Triacylglycerols	323	
Tricarboxylate transporter	3417	
Two related proteases	5216	
Uni- Sym- and Antiporters	2095	
alpha-proteobacterial cluster of hypotheticals	708	
proteosome related	4235	
recX and regulatory cluster	1198	
tRNA sulfuration	1799	

