Taxon	
mgm4637841.3	
Quinone cofactors	10906	
Quorum sensing and biofilm formation	1918	
RNA processing and modification	61707	
Recombination related cluster	839	
Regulation of virulence	5998	
Related to Menaquinone-cytochrome C reductase 	174	
Resistance to antibiotics and toxic compounds	65588	
Reverse electron transport	53	
Riboflavin, FMN, FAD	4687	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3674	
Ribosome-related cluster	4567	
Sarcosine oxidase	1622	
Selenoproteins	9763	
Shiga toxin cluster	2158	
Siderophores	1494	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	73	
Sodium Ion-Coupled Energetics	401	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1193	
Sugar alcohols	16631	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5244	
Tetrapyrroles	20239	
Three hypotheticals linked to lipoprotein biosynthesis	1289	
TldD cluster	2771	
Toxins and superantigens	252	
Transcription	29356	
Translation	4057	
Transposable elements	3381	
Triacylglycerols	389	
Tricarboxylate transporter	1569	
Two related proteases	3462	
Uni- Sym- and Antiporters	1500	
alpha-proteobacterial cluster of hypotheticals	1429	
proteosome related	2346	
recX and regulatory cluster	1177	
tRNA sulfuration	1986	

