Taxon	
mgm4664866.3	
Nucleotidyl-phosphate metabolic cluster	19206	
One-carbon Metabolism	89906	
Organic acids	41249	
Organic sulfur assimilation	16132	
Osmotic stress	15047	
Oxidative stress	44414	
Pathogenicity islands	12459	
Peripheral pathways for catabolism of aromatic compounds	44445	
Periplasmic Stress	2491	
Phages, Prophages	39168	
Phosphate metabolism	5433	
Phospholipids	28696	
Plant Alkaloids	547	
Plant Hormones	9505	
Plant Octadecanoids	28	
Plant-Prokaryote DOE project	306732	
Plasmid related functions	254	
Polysaccharides	20581	
Probably GTP or GMP signaling related	8005	
Probably Pyrimidine biosynthesis-related	2291	
Probably Ybbk-related hypothetical membrane proteins	1457	
Probably organic hydroperoxide resistance related hypothetical protein	1018	
Programmed Cell Death and Toxin-antitoxin Systems	2127	
Proline and 4-hydroxyproline	15079	
Proteasome related clusters	58	
Protein and nucleoprotein secretion system, Type IV	6331	
Protein biosynthesis	172019	
Protein degradation	50962	
Protein export?	10666	
Protein folding	27870	
Protein processing and modification	46212	
Protein secretion system, Type I	445	
Protein secretion system, Type II	12281	
Protein secretion system, Type III	477	
Protein secretion system, Type V	76	
Protein secretion system, Type VI	9208	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	38	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	675	
Protein translocation across cytoplasmic membrane	16830	
Proteolytic pathway	51	
Purines	60130	
Putative GGDEF domain protein related to agglutinin secretion	190	
Putative Isoquinoline 1-oxidoreductase subunit	4613	
Putative asociate of RNA polymerase sigma-54 factor rpoN	15224	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4218	
Pyridoxine	17204	
Pyrimidines	44839	
Pyruvate kinase associated cluster	3213	
Quinone cofactors	15782	
Quorum sensing and biofilm formation	3802	
RNA processing and modification	93662	
Recombination related cluster	1321	
Regulation of virulence	10669	
Related to Menaquinone-cytochrome C reductase 	505	
Resistance to antibiotics and toxic compounds	72716	
Reverse electron transport	217	
Riboflavin, FMN, FAD	8293	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7079	
Ribosome-related cluster	6827	
Sarcosine oxidase	2257	
Selenoproteins	17386	
Shiga toxin cluster	2906	
Siderophores	4580	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	108	
Sodium Ion-Coupled Energetics	555	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1997	
Sugar alcohols	30888	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7270	
Tetrapyrroles	26438	
Three hypotheticals linked to lipoprotein biosynthesis	1403	
TldD cluster	3247	
Toxins and superantigens	338	
Transcription	47909	
Translation	5702	
Transposable elements	5282	
Triacylglycerols	473	
Tricarboxylate transporter	5157	
Two related proteases	7370	
Uni- Sym- and Antiporters	3099	
alpha-proteobacterial cluster of hypotheticals	740	
proteosome related	6200	
recX and regulatory cluster	1707	
tRNA sulfuration	2462	

