Taxon	
mgm4637827.3	
Plant-Prokaryote DOE project	285089	
Plasmid related functions	316	
Polysaccharides	18462	
Probably GTP or GMP signaling related	7214	
Probably Pyrimidine biosynthesis-related	1960	
Probably Ybbk-related hypothetical membrane proteins	1312	
Probably organic hydroperoxide resistance related hypothetical protein	953	
Programmed Cell Death and Toxin-antitoxin Systems	1747	
Proline and 4-hydroxyproline	13746	
Proteasome related clusters	49	
Protein and nucleoprotein secretion system, Type IV	6063	
Protein biosynthesis	160197	
Protein degradation	47457	
Protein export?	10001	
Protein folding	25804	
Protein processing and modification	42683	
Protein secretion system, Type I	509	
Protein secretion system, Type II	11431	
Protein secretion system, Type III	501	
Protein secretion system, Type V	93	
Protein secretion system, Type VI	9016	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	36	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	809	
Protein translocation across cytoplasmic membrane	15376	
Proteolytic pathway	46	
Purines	56248	
Putative GGDEF domain protein related to agglutinin secretion	232	
Putative Isoquinoline 1-oxidoreductase subunit	4795	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12142	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3732	
Pyridoxine	15886	
Pyrimidines	42653	
Pyruvate kinase associated cluster	3041	
Quinone cofactors	14696	
Quorum sensing and biofilm formation	3413	
RNA processing and modification	91534	
Recombination related cluster	1308	
Regulation of virulence	9969	
Related to Menaquinone-cytochrome C reductase 	381	
Resistance to antibiotics and toxic compounds	68622	
Reverse electron transport	163	
Riboflavin, FMN, FAD	7606	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6477	
Ribosome-related cluster	6606	
Sarcosine oxidase	2180	
Selenoproteins	14901	
Shiga toxin cluster	3107	
Siderophores	4755	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	84	
Sodium Ion-Coupled Energetics	497	
Sugar Phosphotransferase Systems, PTS	1827	
Sugar alcohols	25614	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7049	
Tetrapyrroles	24519	
Three hypotheticals linked to lipoprotein biosynthesis	1312	
TldD cluster	3176	
Toxins and superantigens	386	
Transcription	43212	
Translation	5486	
Transposable elements	4828	
Triacylglycerols	420	
Tricarboxylate transporter	6250	
Two related proteases	6555	
Uni- Sym- and Antiporters	2912	
alpha-proteobacterial cluster of hypotheticals	901	
proteosome related	4709	
recX and regulatory cluster	1742	
tRNA sulfuration	2351	

