Taxon	
mgm4664858.3	
Phosphate metabolism	4995	
Phospholipids	29770	
Plant Alkaloids	983	
Plant Hormones	10264	
Plant Octadecanoids	35	
Plant-Prokaryote DOE project	334130	
Plasmid related functions	536	
Polysaccharides	23014	
Probably GTP or GMP signaling related	8556	
Probably Pyrimidine biosynthesis-related	2552	
Probably Ybbk-related hypothetical membrane proteins	1348	
Probably organic hydroperoxide resistance related hypothetical protein	956	
Programmed Cell Death and Toxin-antitoxin Systems	3661	
Proline and 4-hydroxyproline	17503	
Proteasome related clusters	68	
Protein and nucleoprotein secretion system, Type IV	7650	
Protein biosynthesis	194521	
Protein degradation	55260	
Protein export?	12265	
Protein folding	31314	
Protein processing and modification	50096	
Protein secretion system, Type I	537	
Protein secretion system, Type II	14592	
Protein secretion system, Type III	568	
Protein secretion system, Type V	154	
Protein secretion system, Type VI	11472	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	89	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	940	
Protein translocation across cytoplasmic membrane	19304	
Proteolytic pathway	76	
Purines	64655	
Putative GGDEF domain protein related to agglutinin secretion	267	
Putative Isoquinoline 1-oxidoreductase subunit	5210	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11822	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4580	
Pyridoxine	17827	
Pyrimidines	48337	
Pyruvate kinase associated cluster	3574	
Quinone cofactors	17506	
Quorum sensing and biofilm formation	3953	
RNA processing and modification	106540	
Recombination related cluster	1483	
Regulation of virulence	11178	
Related to Menaquinone-cytochrome C reductase 	396	
Resistance to antibiotics and toxic compounds	85512	
Reverse electron transport	103	
Riboflavin, FMN, FAD	8527	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6797	
Ribosome-related cluster	8403	
Sarcosine oxidase	2760	
Selenoproteins	15796	
Shiga toxin cluster	5089	
Siderophores	4125	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	91	
Sodium Ion-Coupled Energetics	632	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1870	
Sugar alcohols	26765	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6435	
Tetrapyrroles	29432	
Three hypotheticals linked to lipoprotein biosynthesis	1731	
TldD cluster	3968	
Toxins and superantigens	317	
Transcription	49918	
Translation	6767	
Transposable elements	5754	
Triacylglycerols	540	
Tricarboxylate transporter	10132	
Two related proteases	6741	
Uni- Sym- and Antiporters	5307	
alpha-proteobacterial cluster of hypotheticals	1446	
proteosome related	4892	
recX and regulatory cluster	1900	
tRNA sulfuration	3070	

