Taxon	
mgm4637845.3	
Transposable elements	5760	
Triacylglycerols	601	
Tricarboxylate transporter	2133	
Two related proteases	6722	
Uni- Sym- and Antiporters	2774	
alpha-proteobacterial cluster of hypotheticals	1814	
proteosome related	5514	
recX and regulatory cluster	2208	
tRNA sulfuration	3718	

