Taxon	
mgm4637838.3	
Sodium Ion-Coupled Energetics	384	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	795	
Sugar alcohols	10739	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3083	
Tetrapyrroles	12283	
Three hypotheticals linked to lipoprotein biosynthesis	666	
TldD cluster	1721	
Toxins and superantigens	239	
Transcription	19142	
Translation	2417	
Transposable elements	2409	
Triacylglycerols	155	
Tricarboxylate transporter	406	
Two related proteases	2372	
Uni- Sym- and Antiporters	844	
alpha-proteobacterial cluster of hypotheticals	565	
proteosome related	1946	
recX and regulatory cluster	846	
tRNA sulfuration	1152	

