Taxon	
mgm4664901.3	
Hypothetical lipase related to Phosphatidate metabolism	1707	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3483	
Inorganic sulfur assimilation	13906	
Invasion and intracellular resistance	284	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7943	
Isoprenoids	24245	
Lipid-derived mediators	167	
Lipoic acid	2275	
Lysine Biosynthesis	659	
Lysine, threonine, methionine, and cysteine	90560	
Metabolism of central aromatic intermediates	20059	
Methylamine utilization	11860	
Molybdopterin oxidoreductase	2827	
Monosaccharides	56769	
NAD and NADP	15041	
Nucleotidyl-phosphate metabolic cluster	13146	
One-carbon Metabolism	71389	
Organic acids	33379	
Organic sulfur assimilation	12804	
Osmotic stress	12715	
Oxidative stress	34896	
Pathogenicity islands	9545	
Peripheral pathways for catabolism of aromatic compounds	35418	
Periplasmic Stress	2420	
Phages, Prophages	26740	
Phosphate metabolism	3848	
Phospholipids	22383	
Plant Alkaloids	643	
Plant Hormones	7553	
Plant Octadecanoids	17	
Plant-Prokaryote DOE project	244187	
Plasmid related functions	383	
Polysaccharides	16009	
Probably GTP or GMP signaling related	6284	
Probably Pyrimidine biosynthesis-related	1871	
Probably Ybbk-related hypothetical membrane proteins	1192	
Probably organic hydroperoxide resistance related hypothetical protein	796	
Programmed Cell Death and Toxin-antitoxin Systems	1742	
Proline and 4-hydroxyproline	11972	
Proteasome related clusters	46	
Protein and nucleoprotein secretion system, Type IV	5001	
Protein biosynthesis	138063	
Protein degradation	40230	
Protein export?	8789	
Protein folding	23338	
Protein processing and modification	36985	
Protein secretion system, Type I	590	
Protein secretion system, Type II	10283	
Protein secretion system, Type III	488	
Protein secretion system, Type V	111	
Protein secretion system, Type VI	8356	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	43	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	786	
Protein translocation across cytoplasmic membrane	13696	
Proteolytic pathway	67	
Purines	46478	
Putative GGDEF domain protein related to agglutinin secretion	249	
Putative Isoquinoline 1-oxidoreductase subunit	4434	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8422	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3598	
Pyridoxine	13750	
Pyrimidines	35947	
Pyruvate kinase associated cluster	2786	
Quinone cofactors	12765	
Quorum sensing and biofilm formation	2742	
RNA processing and modification	78942	
Recombination related cluster	1084	
Regulation of virulence	8458	
Related to Menaquinone-cytochrome C reductase 	330	
Resistance to antibiotics and toxic compounds	60984	
Reverse electron transport	76	
Riboflavin, FMN, FAD	6310	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5406	
Ribosome-related cluster	5765	
Sarcosine oxidase	1797	
Selenoproteins	12108	
Shiga toxin cluster	3194	
Siderophores	3697	
Signal transduction in Eukaryotes	7	
Social motility and nonflagellar swimming in bacteria	53	
Sodium Ion-Coupled Energetics	418	
Spore DNA protection	6	
Sugar Phosphotransferase Systems, PTS	1268	
Sugar alcohols	19456	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4706	
Tetrapyrroles	21306	
Three hypotheticals linked to lipoprotein biosynthesis	1355	
TldD cluster	2929	
Toxins and superantigens	303	
Transcription	36100	
Translation	4788	
Transposable elements	3852	
Triacylglycerols	458	
Tricarboxylate transporter	5912	
Two related proteases	4859	
Uni- Sym- and Antiporters	3082	
alpha-proteobacterial cluster of hypotheticals	1043	
proteosome related	3272	
recX and regulatory cluster	1504	
tRNA sulfuration	2152	

