,id,metadata
81,Actinobacillus pleuropneumoniae serovar 7 str. AP76,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 7 str. AP76']}"
82,Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261']}"
83,Actinobacillus succinogenes 130Z,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus succinogenes', 'Actinobacillus succinogenes 130Z']}"
84,Actinomyces coleocanis DSM 15436,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces coleocanis', 'Actinomyces coleocanis DSM 15436']}"
85,Actinomyces odontolyticus ATCC 17982,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces odontolyticus', 'Actinomyces odontolyticus ATCC 17982']}"
86,Actinomyces odontolyticus F0309,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces odontolyticus', 'Actinomyces odontolyticus F0309']}"
87,Actinomyces sp. oral taxon 180 str. F0310,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces sp. oral taxon 180', 'Actinomyces sp. oral taxon 180 str. F0310']}"
88,Actinomyces sp. oral taxon 848 str. F0332,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces sp. oral taxon 848', 'Actinomyces sp. oral taxon 848 str. F0332']}"
89,Actinomyces urogenitalis DSM 15434,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces urogenitalis', 'Actinomyces urogenitalis DSM 15434']}"
90,Actinomyces viscosus C505,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Actinomycetaceae', 'Actinomyces', 'Actinomyces viscosus', 'Actinomyces viscosus C505']}"
91,Actinoplanes phage phiAsp2,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Siphoviridae', 'unclassified (derived from Siphoviridae)', 'Actinoplanes phage phiAsp2', 'Actinoplanes phage phiAsp2']}"
92,Actinosynnema mirum DSM 43827,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Pseudonocardiaceae', 'Actinosynnema', 'Actinosynnema mirum', 'Actinosynnema mirum DSM 43827']}"
93,Acyrthosiphon pisum,"{'taxonomy': ['Eukaryota', 'Arthropoda', 'Insecta', 'Hemiptera', 'Aphididae', 'Acyrthosiphon', 'Acyrthosiphon pisum', 'Acyrthosiphon pisum']}"
94,Adiantum capillus-veneris,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Polypodiopsida', 'Polypodiales', 'Pteridaceae', 'Adiantum', 'Adiantum capillus-veneris', 'Adiantum capillus-veneris']}"
95,Aedes aegypti,"{'taxonomy': ['Eukaryota', 'Arthropoda', 'Insecta', 'Diptera', 'Culicidae', 'Aedes', 'Aedes aegypti', 'Aedes aegypti']}"
96,Aerococcus viridans ATCC 11563,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Bacilli', 'Lactobacillales', 'Aerococcaceae', 'Aerococcus', 'Aerococcus viridans', 'Aerococcus viridans ATCC 11563']}"
97,Aeromicrobium marinum DSM 15272,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Nocardioidaceae', 'Aeromicrobium', 'Aeromicrobium marinum', 'Aeromicrobium marinum DSM 15272']}"
98,Aeromonas bestiarum,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas bestiarum', 'Aeromonas bestiarum']}"
99,Aeromonas caviae,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas caviae', 'Aeromonas caviae']}"
100,Aeromonas hydrophila,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas hydrophila', 'Aeromonas hydrophila']}"
101,Aeromonas hydrophila subsp. hydrophila ATCC 7966,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas hydrophila', 'Aeromonas hydrophila subsp. hydrophila ATCC 7966']}"
102,Aeromonas phage 25,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Myoviridae', 'T4-like viruses', 'Aeromonas phage 25', 'Aeromonas phage 25']}"
103,Aeromonas phage 31,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Myoviridae', 'T4-like viruses', 'Aeromonas phage 31', 'Aeromonas phage 31']}"
104,Aeromonas phage phiAS5,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Myoviridae', 'T4-like viruses', 'Aeromonas phage phiAS5', 'Aeromonas phage phiAS5']}"
105,Aeromonas salmonicida,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas salmonicida', 'Aeromonas salmonicida']}"
106,Aeromonas salmonicida subsp. salmonicida,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas salmonicida', 'Aeromonas salmonicida subsp. salmonicida']}"
107,Aeromonas salmonicida subsp. salmonicida A449,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Aeromonadales', 'Aeromonadaceae', 'Aeromonas', 'Aeromonas salmonicida', 'Aeromonas salmonicida subsp. salmonicida A449']}"
