Taxon	
mgm4664926.3	
Inorganic sulfur assimilation	11068	
Invasion and intracellular resistance	125	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7743	
Isoprenoids	22354	
Light-harvesting complexes	2	
Lipid-derived mediators	96	
Lipoic acid	1759	
Lysine Biosynthesis	469	
Lysine, threonine, methionine, and cysteine	90430	
Metabolism of central aromatic intermediates	20864	
Methylamine utilization	10350	
Molybdopterin oxidoreductase	4129	
Monosaccharides	65008	
NAD and NADP	13471	
Nucleotidyl-phosphate metabolic cluster	9578	
One-carbon Metabolism	64617	
Organic acids	30200	
Organic sulfur assimilation	12686	
Osmotic stress	8465	
Oxidative stress	32355	
Pathogenicity islands	7299	
Peripheral pathways for catabolism of aromatic compounds	33994	
Periplasmic Stress	2797	
Phages, Prophages	25986	
Phosphate metabolism	3638	
Phospholipids	22006	
Plant Alkaloids	721	
Plant Hormones	8032	
Plant Octadecanoids	14	
Plant-Prokaryote DOE project	223284	
Plasmid related functions	543	
Polysaccharides	22028	
Probably GTP or GMP signaling related	5862	
Probably Pyrimidine biosynthesis-related	1526	
Probably Ybbk-related hypothetical membrane proteins	923	
Probably organic hydroperoxide resistance related hypothetical protein	747	
Programmed Cell Death and Toxin-antitoxin Systems	3111	
Proline and 4-hydroxyproline	10197	
Proteasome related clusters	41	
Protein and nucleoprotein secretion system, Type IV	5412	
Protein biosynthesis	118030	
Protein degradation	38361	
Protein export?	7341	
Protein folding	22354	
Protein processing and modification	36970	
Protein secretion system, Type I	105	
Protein secretion system, Type II	10181	
Protein secretion system, Type III	338	
Protein secretion system, Type V	203	
Protein secretion system, Type VI	9414	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	112	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	657	
Protein translocation across cytoplasmic membrane	11600	
Proteolytic pathway	441	
Purines	39649	
Putative GGDEF domain protein related to agglutinin secretion	99	
Putative Isoquinoline 1-oxidoreductase subunit	5086	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7887	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2308	
Pyridoxine	10573	
Pyrimidines	31850	
Pyruvate kinase associated cluster	2066	
Quinone cofactors	11603	
Quorum sensing and biofilm formation	2482	
RNA processing and modification	70347	
Recombination related cluster	1181	
Regulation of virulence	7074	
Related to Menaquinone-cytochrome C reductase 	224	
Resistance to antibiotics and toxic compounds	81896	
Reverse electron transport	168	
Riboflavin, FMN, FAD	5038	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3983	
Ribosome-related cluster	5445	
Sarcosine oxidase	1141	
Selenoproteins	12188	
Shiga toxin cluster	2142	
Siderophores	1351	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	71	
Sodium Ion-Coupled Energetics	902	
Spore DNA protection	17	
Sugar Phosphotransferase Systems, PTS	1611	
Sugar alcohols	19072	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6191	
Tetrapyrroles	20130	
Three hypotheticals linked to lipoprotein biosynthesis	1145	
TldD cluster	3237	
Toxins and superantigens	466	
Transcription	33210	
Translation	4560	
Transposable elements	4322	
Triacylglycerols	289	
Tricarboxylate transporter	687	
Two related proteases	4122	
Uni- Sym- and Antiporters	1416	
alpha-proteobacterial cluster of hypotheticals	964	
proteosome related	2523	
recX and regulatory cluster	1338	
tRNA sulfuration	2029	

