Taxon	
mgm4664905.3	
Inorganic sulfur assimilation	8402	
Invasion and intracellular resistance	76	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	4460	
Isoprenoids	15134	
Light-harvesting complexes	2	
Lipid-derived mediators	140	
Lipoic acid	1094	
Lysine Biosynthesis	435	
Lysine, threonine, methionine, and cysteine	56425	
Metabolism of central aromatic intermediates	19151	
Methylamine utilization	7410	
Molybdopterin oxidoreductase	1807	
Monosaccharides	33844	
NAD and NADP	8604	
Nucleotidyl-phosphate metabolic cluster	13861	
One-carbon Metabolism	45596	
Organic acids	22925	
Organic sulfur assimilation	9747	
Osmotic stress	7707	
Oxidative stress	25215	
Pathogenicity islands	5585	
Peripheral pathways for catabolism of aromatic compounds	29667	
Periplasmic Stress	1804	
Phages, Prophages	19981	
Phosphate metabolism	2475	
Phospholipids	15205	
Plant Alkaloids	393	
Plant Hormones	4811	
Plant Octadecanoids	15	
Plant-Prokaryote DOE project	156478	
Plasmid related functions	501	
Polysaccharides	11952	
Probably GTP or GMP signaling related	3558	
Probably Pyrimidine biosynthesis-related	958	
Probably Ybbk-related hypothetical membrane proteins	679	
Probably organic hydroperoxide resistance related hypothetical protein	557	
Programmed Cell Death and Toxin-antitoxin Systems	2029	
Proline and 4-hydroxyproline	6563	
Proteasome related clusters	30	
Protein and nucleoprotein secretion system, Type IV	4301	
Protein biosynthesis	74733	
Protein degradation	23719	
Protein export?	4785	
Protein folding	15167	
Protein processing and modification	22829	
Protein secretion system, Type I	77	
Protein secretion system, Type II	7946	
Protein secretion system, Type III	281	
Protein secretion system, Type V	117	
Protein secretion system, Type VI	5763	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	33	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	455	
Protein translocation across cytoplasmic membrane	7637	
Proteolytic pathway	235	
Purines	26435	
Putative GGDEF domain protein related to agglutinin secretion	91	
Putative Isoquinoline 1-oxidoreductase subunit	6847	
Putative asociate of RNA polymerase sigma-54 factor rpoN	6196	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2097	
Pyridoxine	7778	
Pyrimidines	20965	
Pyruvate kinase associated cluster	1590	
Quinone cofactors	8096	
Quorum sensing and biofilm formation	1420	
RNA processing and modification	44204	
Recombination related cluster	651	
Regulation of virulence	4549	
Related to Menaquinone-cytochrome C reductase 	134	
Resistance to antibiotics and toxic compounds	60680	
Reverse electron transport	36	
Riboflavin, FMN, FAD	3630	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	2771	
Ribosome-related cluster	3157	
Sarcosine oxidase	997	
Selenoproteins	7854	
Shiga toxin cluster	1724	
Siderophores	1330	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	28	
Sodium Ion-Coupled Energetics	192	
Sugar Phosphotransferase Systems, PTS	894	
Sugar alcohols	11798	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3005	
Tetrapyrroles	14991	
Three hypotheticals linked to lipoprotein biosynthesis	892	
TldD cluster	1936	
Toxins and superantigens	168	
Transcription	21959	
Translation	3347	
Transposable elements	2550	
Triacylglycerols	346	
Tricarboxylate transporter	1374	
Two related proteases	2463	
Uni- Sym- and Antiporters	777	
alpha-proteobacterial cluster of hypotheticals	1089	
proteosome related	1348	
recX and regulatory cluster	784	
tRNA sulfuration	1411	

