Taxon	
mgm4637860.3	
One-carbon Metabolism	94490	
Organic acids	42906	
Organic sulfur assimilation	17631	
Osmotic stress	14914	
Oxidative stress	45872	
Pathogenicity islands	12205	
Peripheral pathways for catabolism of aromatic compounds	46102	
Periplasmic Stress	3173	
Phages, Prophages	34289	
Phosphate metabolism	4954	
Phospholipids	29610	
Plant Alkaloids	987	
Plant Hormones	10028	
Plant Octadecanoids	14	
Plant-Prokaryote DOE project	322746	
Plasmid related functions	500	
Polysaccharides	21375	
Probably GTP or GMP signaling related	8290	
Probably Pyrimidine biosynthesis-related	2284	
Probably Ybbk-related hypothetical membrane proteins	1325	
Probably organic hydroperoxide resistance related hypothetical protein	1013	
Programmed Cell Death and Toxin-antitoxin Systems	1812	
Proline and 4-hydroxyproline	16210	
Proteasome related clusters	86	
Protein and nucleoprotein secretion system, Type IV	6507	
Protein biosynthesis	182304	
Protein degradation	54897	
Protein export?	11345	
Protein folding	29838	
Protein processing and modification	47146	
Protein secretion system, Type I	665	
Protein secretion system, Type II	14254	
Protein secretion system, Type III	592	
Protein secretion system, Type V	182	
Protein secretion system, Type VI	10640	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	54	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1040	
Protein translocation across cytoplasmic membrane	17567	
Proteolytic pathway	75	
Purines	60855	
Putative GGDEF domain protein related to agglutinin secretion	270	
Putative Isoquinoline 1-oxidoreductase subunit	6022	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11406	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3872	
Pyridoxine	17501	
Pyrimidines	47069	
Pyruvate kinase associated cluster	3512	
Quinone cofactors	16877	
Quorum sensing and biofilm formation	3561	
RNA processing and modification	108084	
Recombination related cluster	1545	
Regulation of virulence	11276	
Related to Menaquinone-cytochrome C reductase 	383	
Resistance to antibiotics and toxic compounds	84211	
Reverse electron transport	142	
Riboflavin, FMN, FAD	7959	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6998	
Ribosome-related cluster	7621	
Sarcosine oxidase	1812	
Selenoproteins	17051	
Shiga toxin cluster	4239	
Siderophores	3777	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	95	
Sodium Ion-Coupled Energetics	549	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2073	
Sugar alcohols	26349	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5795	
Tetrapyrroles	26814	
Three hypotheticals linked to lipoprotein biosynthesis	1822	
TldD cluster	4204	
Toxins and superantigens	436	
Transcription	46826	
Translation	6230	
Transposable elements	5565	
Triacylglycerols	452	
Tricarboxylate transporter	5649	
Two related proteases	6558	
Uni- Sym- and Antiporters	3540	
alpha-proteobacterial cluster of hypotheticals	1182	
proteosome related	4468	
recX and regulatory cluster	1931	
tRNA sulfuration	2937	

