Taxon	
mgm4664870.3	
Metabolism of central aromatic intermediates	28528	
Methylamine utilization	14289	
Molybdopterin oxidoreductase	4021	
Monosaccharides	77758	
NAD and NADP	17554	
Nucleotidyl-phosphate metabolic cluster	12067	
One-carbon Metabolism	84257	
Organic acids	38566	
Organic sulfur assimilation	17569	
Osmotic stress	11677	
Oxidative stress	45439	
Pathogenicity islands	10484	
Peripheral pathways for catabolism of aromatic compounds	45457	
Periplasmic Stress	3041	
Phages, Prophages	31398	
Phosphate metabolism	4466	
Phospholipids	27943	
Plant Alkaloids	738	
Plant Hormones	10351	
Plant Octadecanoids	21	
Plant-Prokaryote DOE project	293382	
Plasmid related functions	714	
Polysaccharides	23408	
Probably GTP or GMP signaling related	7278	
Probably Pyrimidine biosynthesis-related	2148	
Probably Ybbk-related hypothetical membrane proteins	1275	
Probably organic hydroperoxide resistance related hypothetical protein	1122	
Programmed Cell Death and Toxin-antitoxin Systems	2465	
Proline and 4-hydroxyproline	13997	
Proteasome related clusters	43	
Protein and nucleoprotein secretion system, Type IV	7492	
Protein biosynthesis	160867	
Protein degradation	47910	
Protein export?	10237	
Protein folding	29288	
Protein processing and modification	45555	
Protein secretion system, Type I	164	
Protein secretion system, Type II	13094	
Protein secretion system, Type III	738	
Protein secretion system, Type V	150	
Protein secretion system, Type VI	11332	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	48	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	802	
Protein translocation across cytoplasmic membrane	15820	
Proteolytic pathway	313	
Purines	53523	
Putative GGDEF domain protein related to agglutinin secretion	162	
Putative Isoquinoline 1-oxidoreductase subunit	6447	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11250	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3852	
Pyridoxine	15675	
Pyrimidines	42599	
Pyruvate kinase associated cluster	3269	
Quinone cofactors	15095	
Quorum sensing and biofilm formation	3415	
RNA processing and modification	91088	
Recombination related cluster	1150	
Regulation of virulence	9357	
Related to Menaquinone-cytochrome C reductase 	233	
Resistance to antibiotics and toxic compounds	90609	
Reverse electron transport	86	
Riboflavin, FMN, FAD	6896	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5627	
Ribosome-related cluster	7053	
Sarcosine oxidase	1912	
Selenoproteins	13902	
Shiga toxin cluster	3306	
Siderophores	2685	
Signal transduction in Eukaryotes	11	
Social motility and nonflagellar swimming in bacteria	92	
Sodium Ion-Coupled Energetics	550	
Spore DNA protection	8	
Sugar Phosphotransferase Systems, PTS	1744	
Sugar alcohols	23924	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6166	
Tetrapyrroles	28624	
Three hypotheticals linked to lipoprotein biosynthesis	1693	
TldD cluster	3777	
Toxins and superantigens	291	
Transcription	44578	
Translation	6124	
Transposable elements	4669	
Triacylglycerols	488	
Tricarboxylate transporter	1942	
Two related proteases	5482	
Uni- Sym- and Antiporters	1949	
alpha-proteobacterial cluster of hypotheticals	1722	
proteosome related	4082	
recX and regulatory cluster	1912	
tRNA sulfuration	2878	

