Taxon	
mgm4664915.3	
Resistance to antibiotics and toxic compounds	105396	
Reverse electron transport	41	
Riboflavin, FMN, FAD	6525	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5081	
Ribosome-related cluster	6009	
Sarcosine oxidase	2338	
Selenoproteins	15017	
Shiga toxin cluster	2997	
Siderophores	3400	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	85	
Sodium Ion-Coupled Energetics	339	
Spore DNA protection	4	
Sugar Phosphotransferase Systems, PTS	1501	
Sugar alcohols	20781	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3706	
Tetrapyrroles	27765	
Three hypotheticals linked to lipoprotein biosynthesis	1582	
TldD cluster	3320	
Toxins and superantigens	264	
Transcription	41254	
Translation	5975	
Transposable elements	4398	
Triacylglycerols	563	
Tricarboxylate transporter	2482	
Two related proteases	4742	
Uni- Sym- and Antiporters	1721	
alpha-proteobacterial cluster of hypotheticals	2078	
proteosome related	2473	
recX and regulatory cluster	1472	
tRNA sulfuration	2681	

