Taxon	
mgm4664873.3	
Nucleotidyl-phosphate metabolic cluster	19343	
One-carbon Metabolism	80461	
Organic acids	38785	
Organic sulfur assimilation	18505	
Osmotic stress	13971	
Oxidative stress	39678	
Pathogenicity islands	11019	
Peripheral pathways for catabolism of aromatic compounds	43941	
Periplasmic Stress	2934	
Phages, Prophages	32193	
Phosphate metabolism	4433	
Phospholipids	26029	
Plant Alkaloids	750	
Plant Hormones	8978	
Plant Octadecanoids	19	
Plant-Prokaryote DOE project	266880	
Plasmid related functions	789	
Polysaccharides	19469	
Probably GTP or GMP signaling related	6250	
Probably Pyrimidine biosynthesis-related	1929	
Probably Ybbk-related hypothetical membrane proteins	1053	
Probably organic hydroperoxide resistance related hypothetical protein	889	
Programmed Cell Death and Toxin-antitoxin Systems	3176	
Proline and 4-hydroxyproline	11588	
Proteasome related clusters	137	
Protein and nucleoprotein secretion system, Type IV	7239	
Protein biosynthesis	141887	
Protein degradation	45892	
Protein export?	9173	
Protein folding	28563	
Protein processing and modification	39608	
Protein secretion system, Type I	132	
Protein secretion system, Type II	13245	
Protein secretion system, Type III	530	
Protein secretion system, Type V	212	
Protein secretion system, Type VI	10461	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	61	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	976	
Protein translocation across cytoplasmic membrane	14077	
Proteolytic pathway	407	
Purines	48195	
Putative GGDEF domain protein related to agglutinin secretion	154	
Putative Isoquinoline 1-oxidoreductase subunit	11465	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10292	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3607	
Pyridoxine	13488	
Pyrimidines	39441	
Pyruvate kinase associated cluster	2807	
Quinone cofactors	13813	
Quorum sensing and biofilm formation	2997	
RNA processing and modification	81834	
Recombination related cluster	1233	
Regulation of virulence	8474	
Related to Menaquinone-cytochrome C reductase 	370	
Resistance to antibiotics and toxic compounds	99819	
Reverse electron transport	84	
Riboflavin, FMN, FAD	6227	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5401	
Ribosome-related cluster	6143	
Sarcosine oxidase	2085	
Selenoproteins	14622	
Shiga toxin cluster	2902	
Siderophores	2071	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	66	
Sodium Ion-Coupled Energetics	476	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1579	
Sugar alcohols	19899	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8505	
Tetrapyrroles	22445	
Three hypotheticals linked to lipoprotein biosynthesis	1453	
TldD cluster	3267	
Toxins and superantigens	447	
Transcription	40817	
Translation	5831	
Transposable elements	4370	
Triacylglycerols	492	
Tricarboxylate transporter	2328	
Two related proteases	4873	
Uni- Sym- and Antiporters	1486	
alpha-proteobacterial cluster of hypotheticals	1436	
proteosome related	2244	
recX and regulatory cluster	1509	
tRNA sulfuration	2226	

