Taxon	
mgm4637863.3	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	67	
Sodium Ion-Coupled Energetics	365	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1371	
Sugar alcohols	17504	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3421	
Tetrapyrroles	19094	
Three hypotheticals linked to lipoprotein biosynthesis	1273	
TldD cluster	2663	
Toxins and superantigens	232	
Transcription	31237	
Translation	4079	
Transposable elements	3612	
Triacylglycerols	390	
Tricarboxylate transporter	2687	
Two related proteases	4122	
Uni- Sym- and Antiporters	2508	
alpha-proteobacterial cluster of hypotheticals	882	
proteosome related	3082	
recX and regulatory cluster	1429	
tRNA sulfuration	1998	

