mgrastID,metagenomeID,sampleID,Identifier assumptions,bp Count,Sequence Count,Biome,Feature,Material,Location,Country,Coordinates,Lat,Long,Sequence Type,Sequence Method,utmZone
4637827.3,CPER_004.SW.Mineral.10_5.20140117.join,CPER_004-M-10-5-20140117,,"1,674,386,818","10,361,652",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637828.3,CPER_004.XX.Mineral.xx_xx.20130701.join,CPER_004-M-20130701-C,,"1,778,867,288","10,863,575",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637829.3,CPER_004.XX.Mineral.xx_xx.20140117.join,CPER_004-M-20140117-C,,"2,110,154,315","12,965,916",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637830.3,CPER_004.xx.Mineral.xx_xx.20140415.join,CPER_004-M-20140415-C,,"686,101,974","4,239,319",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637831.3,CPER_004.xx.Mineral.xx_xx.20140715.join,CPER_004-M-20140715-C,,"924,797,858","5,712,287",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637832.3,CPER_046.23.Mineral.31_3.20140416.join,CPER_046-M-31-3-20140416,,"1,522,179,901","9,217,347",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.817297, -104.747096",40.817297,-104.747096,WGS,illumina,13
4637833.3,CPER_046.xx.Mineral.xx_xx.20140716.join,CPER_046-M-20140716-C,,"1,341,964,930","8,236,190",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.817297, -104.747096",40.817297,-104.747096,WGS,illumina,13
4664901.3,CPER.001.NE.Mineral.25.38.20130701.join,CPER_001-M-25-38-20130701,,"1,583,941,351","9,444,665",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4664858.3,CPER.001.NE.Mineral.38.38.20131024.join,CPER_001-M-38-38-20131024,,"2,207,589,151","12,870,922",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4664891.3,CPER.002.SE.Mineral.36.5.20130701.join,CPER_002-M-36-5-20130701,,"1,975,773,431","11,797,747",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4664866.3,CPER.002.SE.Mineral.38.8.20131024.join,CPER_002-M-38-8-20131024,,"1,938,245,673","11,191,149",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4664889.3,CPER.003.SW.Mineral.3.10.20130701.join,CPER_003-M-3-10-20130701,,"1,499,077,314","8,951,440",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4664890.3,CPER.004.NW.Mineral.5.35.20130701.join,CPER_004-M-5-35-20130701,,"917,383,388","5,403,305",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.81275, -104.696873",40.81275,-104.696873,WGS,illumina,13
4637834.3,DSNY_009.21.M.4.7.20140910.join,DSNY_009-M-4-7-20140910,,"1,739,708,597","10,439,886",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637835.3,DSNY_009.23.M.33.14.20140409.join,DSNY_009-M-33-14-20140409,,"2,193,609,604","13,638,051",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637836.3,DSNY_009.23.M.37.16.20140327.join,DSNY_009-M-37-16-20140327,,"1,491,086,735","9,169,891",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637837.3,DSNY_009.xx.M.xx.xx.20140327.join,DSNY_009-M-20140327-C,,"3,323,815,900","21,170,420",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637838.3,DSNY_009.xx.M.xx.xx.20140409.join,DSNY_009-M-20140409-C,,"812,277,737","5,060,273",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637839.3,DSNY_009.xx.M.xx.xx.20140910.join,DSNY_009-M-20140910-C,,"1,788,268,256","11,215,307",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637840.3,DSNY_016.23.M.23.38.20140910.join,DSNY_016-M-23-38-20140910,,"1,489,197,839","8,825,422",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637841.3,DSNY_016.23.M.35.17.20140327.join,DSNY_016-M-35-17-20140327,,"1,161,972,377","7,111,116",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637842.3,DSNY_016.23.M.37.14.20140410.join,DSNY_016-M-37-14-20140410,,"1,946,644,805","11,862,523",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637843.3,DSNY_016.xx.M.xx.xx.20140327.join,DSNY_016-M-20140327-C,,"2,152,551,443","13,581,707",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637844.3,DSNY_016.xx.M.xx.xx.20140410.join,DSNY_016-M-20140410-C,,"993,897,952","6,119,006",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637845.3,DSNY_016.xx.M.xx.xx.20140910.join,DSNY_016-M-20140910-C,,"2,079,902,288","12,866,252",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4637846.3,DSNY_021.xx.M.xx.xx.20140327.join,DSNY_021-M-20140327-C,"assuming plot_Id due to the leading zero , could be the morder with plotID  DSNY_002","1,422,995,907","8,793,305",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.052638, -81.393374",28.052638,-81.393374,WGS,illumina,17
4637847.3,DSNY_025.xx.M.xx.xx.20140327.join,DSNY_025-M-20140327-C,Plot_ID,"1,592,412,857","9,723,847",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.071776, -81.42062",28.071776,-81.42062,WGS,illumina,17
4637848.3,DSNY_101.xx.M.xx.xx.20130731.join,DSNY_101-M-20130731-C,,"2,182,251,905","13,873,047",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4637849.3,DSNY_201.xx.M.xx.xx.20130731.join,DSNY_201-M-20130731-C,,"1,468,579,977","9,325,510",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4664926.3,DSNY.101.23.M.35.7.20131114.join,DSNY_101-M-35-7-20131114,,"1,537,949,965","9,573,351",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4664912.3,DSNY.101.39.M.9.26.20130731.join,DSNY_101-M-9-26-20130731,,"1,644,626,126","9,593,464",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4664918.3,DSNY.101.xx.M.xx.x.20131114.join,DSNY_101-M-20131114-C,,"11,665,934,500","70,733,994",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.073118, -81.428559",28.073118,-81.428559,WGS,illumina,17
4664865.3,DSNY.201.23.M.24.9.20131114.join,DSNY_201-M-24-9-20131114,,"1,610,226,407","9,660,152",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4664870.3,DSNY.201.39.M.6.30.20130731.join,DSNY_201-M-6-30-20130731,,"1,943,492,460","11,259,864",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4664925.3,DSNY.201.xx.M.xx.x.20131114.join,DSNY_201-M-20131114-C,,"4,319,683,800","26,357,757",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.043948, -81.393638",28.043948,-81.393638,WGS,illumina,17
4664910.3,DSNY.265.39.M.1.21.20130731.join,DSNY_265-M-1-21-20130731,"mOrder, plot ID is DSNY_021","2,069,667,411","12,352,535",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.052638, - 81.393374",28.052638,-81.393374,WGS,illumina,17
4664897.3,DSNY.265.xx.M.xx.x.20130731.join,DSNY_265-M-20130731-C,"mOrder, plot ID is DSNY_021","1,829,634,162","10,621,895",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA,"28.052638, - 81.393374",28.052638,-81.393374,WGS,illumina,17
4664915.3,DSNY.293.39.M.16.35.20130731.join,DSNY_293-M-16-35-20130731,"Morder, plot ID is DSNY_025","1,871,017,321","11,701,258",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA," 28.071776, -81.42062",28.071776,-81.42062,WGS,illumina,17
4664922.3,DSNY.293.xx.M.xx.x.20130731.join,DSNY_293-M-20130731-C,"Morder, plot ID is DSNY_025","1,720,854,017","10,503,597",terrestrial biome,soil,surface soil,Disney Wilderness Preserve,USA," 28.071776, -81.42062",28.071776,-81.42062,WGS,illumina,17
4664892.3,HARV.001.05.04.Mineral.13.7.20131122.join,HARV_001-M-13-7-20131122,,"2,153,012,453","13,044,744",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664916.3,HARV.001.05.05.Organic.30.7.20131122.join,HARV_001-O-30-7-20131122,,"2,234,983,957","13,398,153",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664888.3,HARV.001.23.Organic.22.2.20130709.join,HARV_001-O-22-2-20130709,,"1,840,712,993","11,225,533",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664909.3,HARV.001.50.Mineral.25.38.20130709.join,HARV_001-M-25-38-20130709,,"2,327,516,203","14,289,408",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664893.3,HARV.001.xx.Mineral.x.x.2013070x.join,HARV_001-M-2013070-C,,"1,323,614,522","7,731,905",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664868.3,HARV.001.xx.xx.Mineral.x.x.20131122.join,HARV_001-M-20131122-C,,"1,500,799,594","9,325,181",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664853.3,HARV.001.xx.xx.Organic.x.x.20131122.join,HARV_001-O-20131122-C,,"709,771,582","4,450,074",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.42427, -72.258289",42.42427,-72.258289,WGS,illumina,18
4664881.3,HARV.004.05.11.Organic.31.8.20131122.join,HARV_004-O-31-8-20131122,,"2,156,794,162","13,021,729",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.427095, -72.229723",42.427095,-72.229723,WGS,illumina,18
4664911.3,HARV.004.48.Organic.5.35.20130709.join,HARV_004-O-5-35-20130709,,"1,529,735,977","9,305,583",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.427095, -72.229723",42.427095,-72.229723,WGS,illumina,18
4664873.3,HARV.004.51.Mineral.34.37.20130709.join,HARV_004-M-34-37-20130709,,"1,962,985,688","12,023,410",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.427095, -72.229723",42.427095,-72.229723,WGS,illumina,18
4664863.3,HARV.004.xx.Mineral.x.x.20130709.join,HARV_004-M-20130709-C,,"879,310,540","5,435,045",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.427095, -72.229723",42.427095,-72.229723,WGS,illumina,18
4664876.3,HARV.004.xx.xx.Organic.x.x.20131122.join,HARV_004-O-20131122-C,,"1,596,601,887","10,861,997",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.427095, -72.229723",42.427095,-72.229723,WGS,illumina,18
4664869.3,HARV.013.05.15.Organic.31.27.20131122.join,HARV_013-O-31-27-20131122,,"2,087,457,474","12,589,307",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.392303, -72.25458",42.392303,-72.25458,WGS,illumina,18
4664854.3,HARV.013.39.Mineral.7.22.20130708.join,HARV_013-M-7-22-20130708,,"359,182,649","2,189,344",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.392303, -72.25458",42.392303,-72.25458,WGS,illumina,18
4664902.3,HARV.013.xx.Mineral.x.x.20130708.join,HARV_013-M-20130708-C,,"1,514,075,249","9,804,495",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.392303, -72.25458",42.392303,-72.25458,WGS,illumina,18
4664928.3,HARV.013.xx.xx.Organic.x.x.20131122.join,HARV_013-O-20131122-C,,"1,196,071,962","7,874,965",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.392303, -72.25458",42.392303,-72.25458,WGS,illumina,18
4664862.3,HARV.016.21.1.1.Organic.20130709.join,HARV_016-O-1-1-20130709,,"1,053,024,277","6,394,297",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.458487, -72.231987",42.458487,-72.231987,WGS,illumina,18
4664919.3,HARV.016.50.Mineral.22.33.20130708.join,HARV_016-M-22-33-20130708,,"975,817,348","6,119,472",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.458487, -72.231987",42.458487,-72.231987,WGS,illumina,18
4664903.3,HARV.016.xx.Mineral.x.x.2013070x.join,HARV_016-M-2013070-C,,"1,117,683,890","7,058,306",terrestrial biome,soil,surface soil,Harvard Forest,USA,"42.458487, -72.231987",42.458487,-72.231987,WGS,illumina,18
4637850.3,JERC_001.xx.M.xx.xx.20140910.join,JERC_001-M-20140910-C,,"933,333,079","5,708,785",terrestrial biome,soil,surface soil,Jones Ecological Research Center,USA,"31.194318, -84.477078",31.194318,-84.477078,WGS,illumina,16
4637851.3,JERC_002.xx.M.xx.xx.20140910.join,JERC_002-M-20140910-C,,"1,417,160,677","8,574,325",terrestrial biome,soil,surface soil,Jones Ecological Research Center,USA,"31.194506, -84.460063",31.194506,-84.460063,WGS,illumina,16
4637852.3,JERC_006.xx.M.xx.xx.20140910.join,JERC_006-M-20140910-C,,"1,101,149,827","6,615,248",terrestrial biome,soil,surface soil,Jones Ecological Research Center,USA,"31.187672, -84.455851",31.187672,-84.455851,WGS,illumina,16
4637853.3,OSBS_047.xx.M.xx.xx.20140314.join,OSBS_047-M-20140314-C,morder 211,"721,129,886","4,467,244",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA," 29.677642, -82.024148",29.677642,-82.024148,WGS,illumina,17
4637854.3,OSBS_087.21.M.8.19.20131112.join,OSBS_087-M-8-19-20131112,,"1,418,642,154","8,731,905",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.684073, -81.959108",29.684073,-81.959108,WGS,illumina,17
4637855.3,OSBS_087.xx.M.xx.xx.20131112.join,OSBS_087-M-20131112-C,,"1,347,672,025","8,526,160",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.684073, -81.959108",29.684073,-81.959108,WGS,illumina,17
4637856.3,OSBS_119.xx.M.xx.xx.20140314.join,OSBS_119-M-20140314-C,,"1,457,362,982","9,148,445",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.686609, -81.983",29.686609,-81.983,WGS,illumina,17
4664908.3,OSBS.001.xx.M.xx.x.20140917.join,OSBS_001-M-20140917-C,,"1,631,646,794","9,688,330",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.702914, -82.008881",29.702914,-82.008881,WGS,illumina,17
4664864.3,OSBS.022.xx.M.xx.x.20140917.join,OSBS_022-M-20140917-C,,"1,860,117,944","11,743,573",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.689482, -81.960693",29.689482,-81.960693,WGS,illumina,17
4664900.3,OSBS.047.23.M.30.7.20131112.join,OSBS_047-M-30-7-20131112,morder 211,"1,662,778,873","9,956,786",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA," 29.677642, -82.024148",29.677642,-82.024148,WGS,illumina,17
4664920.3,OSBS.047.39.M.9.26.20130726.join,OSBS_047-M-9-26-20130726,morder 211,"2,449,558,381","14,644,882",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA," 29.677642, -82.024148",29.677642,-82.024148,WGS,illumina,17
4664877.3,OSBS.047.xx.M.xx.x.20130726.join,OSBS_047-M-20130726-C,morder 211,"1,440,272,810","8,515,777",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA," 29.677642, -82.024148",29.677642,-82.024148,WGS,illumina,17
4664886.3,OSBS.047.xx.M.xx.x.20131112.join,OSBS_047-M-20131112-C,morder 211,"1,588,491,096","9,836,598",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA," 29.677642, -82.024148",29.677642,-82.024148,WGS,illumina,17
4664914.3,OSBS.048.39.M.9.22.20130726.join,OSBS_048-M-9-22-20130726,plot_ID,"2,549,440,106","15,186,763",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.679299, - 81.946352",29.679299,-81.946352,WGS,illumina,17
4664852.3,OSBS.048.xx.M.xx.x.20130726.join,OSBS_048-M-20130726-C,plot_ID,"1,592,312,500","9,215,278",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.679299, - 81.946352",29.679299,-81.946352,WGS,illumina,17
4664887.3,OSBS.048.xx.M.xx.x.20140314.join,OSBS_048-M-20140314-C,plot_ID,"2,276,812,915","13,771,508",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.679299, - 81.946352",29.679299,-81.946352,WGS,illumina,17
4664857.3,OSBS.087.39.M.1.21.20130726.join,OSBS_087-M-1-21-20130726,,"2,951,717,776","17,803,668",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.684073, -81.959108",29.684073,-81.959108,WGS,illumina,17
4664882.3,OSBS.087.xx.M.xx.x.20130726.join,OSBS_087-M-20130726-C,,"2,045,658,234","11,943,998",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.684073, -81.959108",29.684073,-81.959108,WGS,illumina,17
4664913.3,OSBS.087.xx.M.xx.x.20140314.join,OSBS_087-M-20140314-C,,"1,776,935,210","10,752,514",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.684073, -81.959108",29.684073,-81.959108,WGS,illumina,17
4664850.3,OSBS.119.21.M.19.1.20131112.join,OSBS_119-M-19-1-20131112,,"2,272,232,702","13,815,534",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.686609, -81.983",29.686609,-81.983,WGS,illumina,17
4664861.3,OSBS.119.39.M.5.35.20130726.join,OSBS_119-M-5-35-20130726,,"2,500,247,544","15,170,867",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.686609, -81.983",29.686609,-81.983,WGS,illumina,17
4664856.3,OSBS.119.xx.M.xx.x.20130726.join,OSBS_119-M-20130726-C,,"1,016,253,769","5,897,609",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.686609, -81.983",29.686609,-81.983,WGS,illumina,17
4664884.3,OSBS.119.xx.M.xx.x.20131112.join,OSBS_119-M-20131112-C,,"1,097,467,922","6,338,349",terrestrial biome,soil,surface soil,Ordway Swisher Biological Station,USA,"29.686609, -81.983",29.686609,-81.983,WGS,illumina,17
4664896.3,SCBI.002.xx.M.xx.x.20140915.join,SCBI_002-M-20140915-C,,"1,901,198,569","11,102,264",terrestrial biome,soil,surface soil,Smithsonian Conservation Biology Institute,USA,"38.895212, -78.142701",38.895212,-78.142701,WGS,illumina,17
4664851.3,SCBI.003.xx.M.xx.x.20140915.join,SCBI_003-M-20140915-C,plot_ID,"1,714,299,175","10,125,449",terrestrial biome,soil,surface soil,Smithsonian Conservation Biology Institute,USA,"38.883305, -78.120382",38.883305,-78.120382,WGS,illumina,17
4664867.3,SCBI.006.xx.M.xx.x.20140915.join,SCBI_006-M-20140915-C,,"697,509,680","4,085,634",terrestrial biome,soil,surface soil,Smithsonian Conservation Biology Institute,USA,"38.897609, -78.152007",38.897609,-78.152007,WGS,illumina,17
4664907.3,SCBI.012.xx.M.xx.x.20140915.join,SCBI_012-M-20140915-C,,"1,681,735,079","9,960,587",terrestrial biome,soil,surface soil,Smithsonian Conservation Biology Institute,USA,"38.889095, -78.168896",38.889095,-78.168896,WGS,illumina,17
4637857.3,STER_001.SE.Mineral.22_2.20130627.join,STER_001-M-22-2-20130627,,"1,627,866,839","9,737,924",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.463935, -103.035332",40.463935,-103.035332,WGS,illumina,13
4637858.3,STER_001.XX.Mineral.xx_xx.20130627.join,STER_001-M-20130627-C,,"2,024,088,795","12,831,560",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.463935, -103.035332",40.463935,-103.035332,WGS,illumina,13
4637859.3,STER_003.NE.Mineral.38_30_20131217.join,STER_003-M-38-30-20131217,,"1,462,862,026","8,974,732",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.465241, -103.032116",40.465241,-103.032116,WGS,illumina,13
4637860.3,STER_003.SE.Mineral.38_5.20130627.join,STER_003-M-38-5-20130627,,"1,748,895,030","10,557,996",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.465241, -103.032116",40.465241,-103.032116,WGS,illumina,13
4637862.3,STER_003.XX.Mineral.xx_xx_20131217.join,STER_003-M-20131217-C,,"1,737,201,138","10,648,364",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.465241, -103.032116",40.465241,-103.032116,WGS,illumina,13
4637861.3,STER_003.XX.Mineral.xx_xx.20130627.join,STER_003-M-20130627-C,,"2,383,554,955","14,931,157",Temperate grasslands,farm,surface soil,"Sterling, CO",USA,"40.465241, -103.032116",40.465241,-103.032116,WGS,illumina,13
