Taxon	
mgm4664877.3	
Toxins and superantigens	137	
Transcription	19746	
Translation	2850	
Transposable elements	2113	
Triacylglycerols	243	
Tricarboxylate transporter	1174	
Two related proteases	2325	
Uni- Sym- and Antiporters	748	
alpha-proteobacterial cluster of hypotheticals	961	
proteosome related	1205	
recX and regulatory cluster	754	
tRNA sulfuration	1149	

