Taxon	
mgm4637865.3	
Plasmid related functions	498	
Polysaccharides	25766	
Probably GTP or GMP signaling related	9213	
Probably Pyrimidine biosynthesis-related	2679	
Probably Ybbk-related hypothetical membrane proteins	1700	
Probably organic hydroperoxide resistance related hypothetical protein	1008	
Programmed Cell Death and Toxin-antitoxin Systems	2246	
Proline and 4-hydroxyproline	17873	
Proteasome related clusters	170	
Protein and nucleoprotein secretion system, Type IV	7718	
Protein biosynthesis	212251	
Protein degradation	63099	
Protein export?	13333	
Protein folding	34965	
Protein processing and modification	55699	
Protein secretion system, Type I	700	
Protein secretion system, Type II	16055	
Protein secretion system, Type III	646	
Protein secretion system, Type V	147	
Protein secretion system, Type VI	12024	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	48	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1159	
Protein translocation across cytoplasmic membrane	20825	
Proteolytic pathway	82	
Purines	70754	
Putative GGDEF domain protein related to agglutinin secretion	318	
Putative Isoquinoline 1-oxidoreductase subunit	6745	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13651	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4530	
Pyridoxine	20144	
Pyrimidines	54626	
Pyruvate kinase associated cluster	3982	
Quinone cofactors	20287	
Quorum sensing and biofilm formation	4348	
RNA processing and modification	121022	
Recombination related cluster	1768	
Regulation of virulence	12424	
Related to Menaquinone-cytochrome C reductase 	461	
Resistance to antibiotics and toxic compounds	95689	
Reverse electron transport	154	
Riboflavin, FMN, FAD	9383	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	8049	
Ribosome-related cluster	8644	
Sarcosine oxidase	2187	
Selenoproteins	19879	
Shiga toxin cluster	4808	
Siderophores	4868	
Signal transduction in Eukaryotes	9	
Social motility and nonflagellar swimming in bacteria	107	
Sodium Ion-Coupled Energetics	645	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2298	
Sugar alcohols	31044	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8033	
Tetrapyrroles	30799	
Three hypotheticals linked to lipoprotein biosynthesis	1952	
TldD cluster	4345	
Toxins and superantigens	547	
Transcription	55338	
Translation	7359	
Transposable elements	6454	
Triacylglycerols	574	
Tricarboxylate transporter	7140	
Two related proteases	7977	
Uni- Sym- and Antiporters	4041	
alpha-proteobacterial cluster of hypotheticals	1167	
proteosome related	5631	
recX and regulatory cluster	2040	
tRNA sulfuration	3285	

