Taxon	
mgm4637862.3	
Nucleotidyl-phosphate metabolic cluster	14233	
One-carbon Metabolism	93538	
Organic acids	42717	
Organic sulfur assimilation	16721	
Osmotic stress	14188	
Oxidative stress	48037	
Pathogenicity islands	12659	
Peripheral pathways for catabolism of aromatic compounds	44429	
Periplasmic Stress	3328	
Phages, Prophages	36352	
Phosphate metabolism	4589	
Phospholipids	29772	
Plant Alkaloids	1049	
Plant Hormones	9947	
Plant Octadecanoids	17	
Plant-Prokaryote DOE project	328248	
Plasmid related functions	636	
Polysaccharides	22417	
Probably GTP or GMP signaling related	8716	
Probably Pyrimidine biosynthesis-related	2354	
Probably Ybbk-related hypothetical membrane proteins	1514	
Probably organic hydroperoxide resistance related hypothetical protein	1200	
Programmed Cell Death and Toxin-antitoxin Systems	1822	
Proline and 4-hydroxyproline	16216	
Proteasome related clusters	115	
Protein and nucleoprotein secretion system, Type IV	7061	
Protein biosynthesis	191174	
Protein degradation	55154	
Protein export?	11800	
Protein folding	30852	
Protein processing and modification	48562	
Protein secretion system, Type I	619	
Protein secretion system, Type II	13823	
Protein secretion system, Type III	601	
Protein secretion system, Type V	151	
Protein secretion system, Type VI	10640	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	60	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	870	
Protein translocation across cytoplasmic membrane	18813	
Proteolytic pathway	111	
Purines	60677	
Putative GGDEF domain protein related to agglutinin secretion	330	
Putative Isoquinoline 1-oxidoreductase subunit	5083	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11436	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4060	
Pyridoxine	17688	
Pyrimidines	47173	
Pyruvate kinase associated cluster	3822	
Quinone cofactors	16922	
Quorum sensing and biofilm formation	3761	
RNA processing and modification	110235	
Recombination related cluster	1331	
Regulation of virulence	11548	
Related to Menaquinone-cytochrome C reductase 	330	
Resistance to antibiotics and toxic compounds	84142	
Reverse electron transport	82	
Riboflavin, FMN, FAD	8343	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6638	
Ribosome-related cluster	7570	
Sarcosine oxidase	1777	
Selenoproteins	16047	
Shiga toxin cluster	4478	
Siderophores	3626	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	93	
Sodium Ion-Coupled Energetics	489	
Spore DNA protection	5	
Sugar Phosphotransferase Systems, PTS	2204	
Sugar alcohols	26630	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5628	
Tetrapyrroles	28318	
Three hypotheticals linked to lipoprotein biosynthesis	2042	
TldD cluster	4296	
Toxins and superantigens	383	
Transcription	49022	
Translation	6442	
Transposable elements	5644	
Triacylglycerols	691	
Tricarboxylate transporter	4011	
Two related proteases	6480	
Uni- Sym- and Antiporters	3918	
alpha-proteobacterial cluster of hypotheticals	1179	
proteosome related	4879	
recX and regulatory cluster	2107	
tRNA sulfuration	3231	

