Taxon	
mgm4637819.3	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	8492	
Tetrapyrroles	35228	
Three hypotheticals linked to lipoprotein biosynthesis	1930	
TldD cluster	4426	
Toxins and superantigens	498	
Transcription	62229	
Translation	7493	
Transposable elements	7032	
Triacylglycerols	662	
Tricarboxylate transporter	6502	
Two related proteases	9426	
Uni- Sym- and Antiporters	3910	
alpha-proteobacterial cluster of hypotheticals	1272	
proteosome related	7385	
recX and regulatory cluster	2382	
tRNA sulfuration	3390	

