Taxon	
mgm4637855.3	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3156	
Tetrapyrroles	21823	
Three hypotheticals linked to lipoprotein biosynthesis	1438	
TldD cluster	2746	
Toxins and superantigens	232	
Transcription	31589	
Translation	4658	
Transposable elements	3609	
Triacylglycerols	504	
Tricarboxylate transporter	1962	
Two related proteases	3684	
Uni- Sym- and Antiporters	1454	
alpha-proteobacterial cluster of hypotheticals	1583	
proteosome related	1994	
recX and regulatory cluster	1248	
tRNA sulfuration	1998	

