Taxon	
mgm4664925.3	
Hypothetical in Lysine biosynthetic cluster	7070	
Hypothetical lipase related to Phosphatidate metabolism	4129	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	8798	
Inorganic sulfur assimilation	34318	
Invasion and intracellular resistance	395	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	21059	
Isoprenoids	64586	
Light-harvesting complexes	17	
Lipid-derived mediators	416	
Lipoic acid	5173	
Lysine Biosynthesis	1523	
Lysine, threonine, methionine, and cysteine	248799	
Metabolism of central aromatic intermediates	69846	
Methylamine utilization	30529	
Molybdopterin oxidoreductase	9890	
Monosaccharides	164308	
NAD and NADP	37909	
Nucleotidyl-phosphate metabolic cluster	32832	
One-carbon Metabolism	190678	
Organic acids	91066	
Organic sulfur assimilation	40565	
Osmotic stress	27261	
Oxidative stress	96997	
Pathogenicity islands	22340	
Peripheral pathways for catabolism of aromatic compounds	106692	
Periplasmic Stress	7804	
Phages, Prophages	72519	
Phosphate metabolism	10671	
Phospholipids	61034	
Plant Alkaloids	1932	
Plant Hormones	22539	
Plant Octadecanoids	52	
Plant-Prokaryote DOE project	649153	
Plasmid related functions	1665	
Polysaccharides	57038	
Probably GTP or GMP signaling related	16201	
Probably Pyrimidine biosynthesis-related	4556	
Probably Ybbk-related hypothetical membrane proteins	2823	
Probably organic hydroperoxide resistance related hypothetical protein	2288	
Programmed Cell Death and Toxin-antitoxin Systems	8532	
Proline and 4-hydroxyproline	28940	
Proteasome related clusters	194	
Protein and nucleoprotein secretion system, Type IV	16411	
Protein biosynthesis	339675	
Protein degradation	104022	
Protein export?	20901	
Protein folding	63220	
Protein processing and modification	103943	
Protein secretion system, Type I	586	
Protein secretion system, Type II	32070	
Protein secretion system, Type III	1157	
Protein secretion system, Type V	488	
Protein secretion system, Type VI	24820	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	187	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1938	
Protein translocation across cytoplasmic membrane	33374	
Proteolytic pathway	1088	
Purines	115818	
Putative GGDEF domain protein related to agglutinin secretion	373	
Putative Isoquinoline 1-oxidoreductase subunit	21875	
Putative asociate of RNA polymerase sigma-54 factor rpoN	22251	
Putrescine/GABA utilization cluster-temporal,to add to SSs	7794	
Pyridoxine	31996	
Pyrimidines	92405	
Pyruvate kinase associated cluster	6782	
Quinone cofactors	33863	
Quorum sensing and biofilm formation	7008	
RNA processing and modification	202531	
Recombination related cluster	3169	
Regulation of virulence	19747	
Related to Menaquinone-cytochrome C reductase 	743	
Resistance to antibiotics and toxic compounds	236608	
Reverse electron transport	347	
Riboflavin, FMN, FAD	14675	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	11677	
Ribosome-related cluster	15484	
Sarcosine oxidase	4054	
Selenoproteins	33953	
Shiga toxin cluster	7224	
Siderophores	5695	
Signal transduction in Eukaryotes	15	
Social motility and nonflagellar swimming in bacteria	190	
Sodium Ion-Coupled Energetics	1621	
Spore DNA protection	9	
Sugar Phosphotransferase Systems, PTS	3890	
Sugar alcohols	51806	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	15389	
Tetrapyrroles	62042	
Three hypotheticals linked to lipoprotein biosynthesis	4019	
TldD cluster	8613	
Toxins and superantigens	1001	
Transcription	92242	
Translation	13080	
Transposable elements	11480	
Triacylglycerols	1159	
Tricarboxylate transporter	6448	
Two related proteases	11430	
Uni- Sym- and Antiporters	4405	
alpha-proteobacterial cluster of hypotheticals	3782	
proteosome related	6399	
recX and regulatory cluster	3928	
tRNA sulfuration	5846	

