Taxon	
mgm4637849.3	
Metabolism of central aromatic intermediates	25149	
Methylamine utilization	12420	
Molybdopterin oxidoreductase	3916	
Monosaccharides	72174	
NAD and NADP	16041	
Nucleotidyl-phosphate metabolic cluster	10328	
One-carbon Metabolism	73790	
Organic acids	33680	
Organic sulfur assimilation	15948	
Osmotic stress	10496	
Oxidative stress	41211	
Pathogenicity islands	8815	
Peripheral pathways for catabolism of aromatic compounds	39956	
Periplasmic Stress	2807	
Phages, Prophages	27527	
Phosphate metabolism	3947	
Phospholipids	24989	
Plant Alkaloids	838	
Plant Hormones	8911	
Plant Octadecanoids	11	
Plant-Prokaryote DOE project	265919	
Plasmid related functions	773	
Polysaccharides	20576	
Probably GTP or GMP signaling related	6751	
Probably Pyrimidine biosynthesis-related	1896	
Probably Ybbk-related hypothetical membrane proteins	1198	
Probably organic hydroperoxide resistance related hypothetical protein	1126	
Programmed Cell Death and Toxin-antitoxin Systems	2257	
Proline and 4-hydroxyproline	12266	
Proteasome related clusters	25	
Protein and nucleoprotein secretion system, Type IV	6515	
Protein biosynthesis	144304	
Protein degradation	42561	
Protein export?	8863	
Protein folding	26366	
Protein processing and modification	39781	
Protein secretion system, Type I	229	
Protein secretion system, Type II	11890	
Protein secretion system, Type III	670	
Protein secretion system, Type V	220	
Protein secretion system, Type VI	10473	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	125	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	765	
Protein translocation across cytoplasmic membrane	14097	
Proteolytic pathway	283	
Purines	48280	
Putative GGDEF domain protein related to agglutinin secretion	253	
Putative Isoquinoline 1-oxidoreductase subunit	5421	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9709	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3518	
Pyridoxine	13870	
Pyrimidines	37928	
Pyruvate kinase associated cluster	2853	
Quinone cofactors	13416	
Quorum sensing and biofilm formation	2837	
RNA processing and modification	85757	
Recombination related cluster	1040	
Regulation of virulence	8589	
Related to Menaquinone-cytochrome C reductase 	167	
Resistance to antibiotics and toxic compounds	82418	
Reverse electron transport	67	
Riboflavin, FMN, FAD	6114	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4769	
Ribosome-related cluster	6321	
Sarcosine oxidase	1704	
Selenoproteins	12379	
Shiga toxin cluster	3276	
Siderophores	2318	
Signal transduction in Eukaryotes	8	
Social motility and nonflagellar swimming in bacteria	90	
Sodium Ion-Coupled Energetics	468	
Spore DNA protection	24	
Sugar Phosphotransferase Systems, PTS	1544	
Sugar alcohols	21771	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5312	
Tetrapyrroles	25511	
Three hypotheticals linked to lipoprotein biosynthesis	1640	
TldD cluster	3803	
Toxins and superantigens	282	
Transcription	39289	
Translation	5692	
Transposable elements	4245	
Triacylglycerols	514	
Tricarboxylate transporter	1976	
Two related proteases	4562	
Uni- Sym- and Antiporters	1983	
alpha-proteobacterial cluster of hypotheticals	1365	
proteosome related	3181	
recX and regulatory cluster	1759	
tRNA sulfuration	2725	

