Taxon	
mgm4637813.3	
Sugar alcohols	22645	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5565	
Tetrapyrroles	24232	
Three hypotheticals linked to lipoprotein biosynthesis	1346	
TldD cluster	3200	
Toxins and superantigens	409	
Transcription	40939	
Translation	5343	
Transposable elements	4947	
Triacylglycerols	427	
Tricarboxylate transporter	6407	
Two related proteases	5615	
Uni- Sym- and Antiporters	3421	
alpha-proteobacterial cluster of hypotheticals	937	
proteosome related	4177	
recX and regulatory cluster	1692	
tRNA sulfuration	2518	

