Taxon	
mgm4664897.3	
Light-harvesting complexes	6	
Lipid-derived mediators	96	
Lipoic acid	1521	
Lysine Biosynthesis	505	
Lysine, threonine, methionine, and cysteine	78036	
Metabolism of central aromatic intermediates	20149	
Methylamine utilization	9332	
Molybdopterin oxidoreductase	3356	
Monosaccharides	47925	
NAD and NADP	11131	
Nucleotidyl-phosphate metabolic cluster	11280	
One-carbon Metabolism	59952	
Organic acids	27554	
Organic sulfur assimilation	11318	
Osmotic stress	7626	
Oxidative stress	28338	
Pathogenicity islands	6783	
Peripheral pathways for catabolism of aromatic compounds	31267	
Periplasmic Stress	2399	
Phages, Prophages	23496	
Phosphate metabolism	3178	
Phospholipids	18716	
Plant Alkaloids	387	
Plant Hormones	7276	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	196527	
Plasmid related functions	410	
Polysaccharides	19126	
Probably GTP or GMP signaling related	5008	
Probably Pyrimidine biosynthesis-related	1457	
Probably Ybbk-related hypothetical membrane proteins	723	
Probably organic hydroperoxide resistance related hypothetical protein	536	
Programmed Cell Death and Toxin-antitoxin Systems	2450	
Proline and 4-hydroxyproline	9339	
Proteasome related clusters	58	
Protein and nucleoprotein secretion system, Type IV	4731	
Protein biosynthesis	104241	
Protein degradation	33094	
Protein export?	6474	
Protein folding	19337	
Protein processing and modification	32554	
Protein secretion system, Type I	63	
Protein secretion system, Type II	9081	
Protein secretion system, Type III	367	
Protein secretion system, Type V	119	
Protein secretion system, Type VI	7797	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	35	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	608	
Protein translocation across cytoplasmic membrane	10328	
Proteolytic pathway	353	
Purines	35251	
Putative GGDEF domain protein related to agglutinin secretion	76	
Putative Isoquinoline 1-oxidoreductase subunit	5538	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7382	
Putrescine/GABA utilization cluster-temporal,to add to SSs	2190	
Pyridoxine	9272	
Pyrimidines	27667	
Pyruvate kinase associated cluster	1819	
Quinone cofactors	10222	
Quorum sensing and biofilm formation	2025	
RNA processing and modification	60813	
Recombination related cluster	951	
Regulation of virulence	6014	
Related to Menaquinone-cytochrome C reductase 	243	
Resistance to antibiotics and toxic compounds	65228	
Reverse electron transport	96	
Riboflavin, FMN, FAD	4482	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3782	
Ribosome-related cluster	4679	
Sarcosine oxidase	1167	
Selenoproteins	10698	
Shiga toxin cluster	2022	
Siderophores	1709	
Signal transduction in Eukaryotes	9	
Social motility and nonflagellar swimming in bacteria	57	
Sodium Ion-Coupled Energetics	509	
Sugar Phosphotransferase Systems, PTS	1207	
Sugar alcohols	16022	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4884	
Tetrapyrroles	18193	
Three hypotheticals linked to lipoprotein biosynthesis	1084	
TldD cluster	2756	
Toxins and superantigens	276	
Transcription	28711	
Translation	3800	
Transposable elements	3564	
Triacylglycerols	278	
Tricarboxylate transporter	853	
Two related proteases	3811	
Uni- Sym- and Antiporters	1270	
alpha-proteobacterial cluster of hypotheticals	1017	
proteosome related	2430	
recX and regulatory cluster	1194	
tRNA sulfuration	1837	

