Taxon	
mgm4664852.3	
Putative Isoquinoline 1-oxidoreductase subunit	8705	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8469	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3231	
Pyridoxine	11675	
Pyrimidines	31385	
Pyruvate kinase associated cluster	2249	
Quinone cofactors	11878	
Quorum sensing and biofilm formation	2333	
RNA processing and modification	68633	
Recombination related cluster	914	
Regulation of virulence	7132	
Related to Menaquinone-cytochrome C reductase 	221	
Resistance to antibiotics and toxic compounds	84399	
Reverse electron transport	51	
Riboflavin, FMN, FAD	5071	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3993	
Ribosome-related cluster	5042	
Sarcosine oxidase	1887	
Selenoproteins	11254	
Shiga toxin cluster	2494	
Siderophores	2435	
Signal transduction in Eukaryotes	7	
Social motility and nonflagellar swimming in bacteria	69	
Sodium Ion-Coupled Energetics	277	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1363	
Sugar alcohols	17341	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	4082	
Tetrapyrroles	21653	
Three hypotheticals linked to lipoprotein biosynthesis	1414	
TldD cluster	2950	
Toxins and superantigens	248	
Transcription	32738	
Translation	4593	
Transposable elements	3651	
Triacylglycerols	487	
Tricarboxylate transporter	1777	
Two related proteases	3842	
Uni- Sym- and Antiporters	1471	
alpha-proteobacterial cluster of hypotheticals	1491	
proteosome related	2241	
recX and regulatory cluster	1264	
tRNA sulfuration	2253	

