Taxon	
mgm4637812.3	
Protein secretion system, Type V	113	
Protein secretion system, Type VI	9049	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	52	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	790	
Protein translocation across cytoplasmic membrane	15234	
Proteolytic pathway	47	
Purines	53265	
Putative GGDEF domain protein related to agglutinin secretion	251	
Putative Isoquinoline 1-oxidoreductase subunit	4832	
Putative asociate of RNA polymerase sigma-54 factor rpoN	9995	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3710	
Pyridoxine	15623	
Pyrimidines	40844	
Pyruvate kinase associated cluster	3174	
Quinone cofactors	14813	
Quorum sensing and biofilm formation	2971	
RNA processing and modification	89138	
Recombination related cluster	1294	
Regulation of virulence	9400	
Related to Menaquinone-cytochrome C reductase 	413	
Resistance to antibiotics and toxic compounds	69655	
Reverse electron transport	88	
Riboflavin, FMN, FAD	7367	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6174	
Ribosome-related cluster	6672	
Sarcosine oxidase	1943	
Selenoproteins	13950	
Shiga toxin cluster	3411	
Siderophores	3814	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	57	
Sodium Ion-Coupled Energetics	482	
Spore DNA protection	16	
Sugar Phosphotransferase Systems, PTS	1507	
Sugar alcohols	22199	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5660	
Tetrapyrroles	23990	
Three hypotheticals linked to lipoprotein biosynthesis	1468	
TldD cluster	3339	
Toxins and superantigens	358	
Transcription	41176	
Translation	5427	
Transposable elements	4750	
Triacylglycerols	475	
Tricarboxylate transporter	6370	
Two related proteases	5942	
Uni- Sym- and Antiporters	3535	
alpha-proteobacterial cluster of hypotheticals	1012	
proteosome related	4178	
recX and regulatory cluster	1744	
tRNA sulfuration	2423	

