Taxon	
mgm4637823.3	
Phages, Prophages	36111	
Phosphate metabolism	5348	
Phospholipids	29724	
Plant Alkaloids	762	
Plant Hormones	10034	
Plant Octadecanoids	22	
Plant-Prokaryote DOE project	320702	
Plasmid related functions	355	
Polysaccharides	21147	
Probably GTP or GMP signaling related	8019	
Probably Pyrimidine biosynthesis-related	2322	
Probably Ybbk-related hypothetical membrane proteins	1538	
Probably organic hydroperoxide resistance related hypothetical protein	1013	
Programmed Cell Death and Toxin-antitoxin Systems	2013	
Proline and 4-hydroxyproline	15680	
Proteasome related clusters	82	
Protein and nucleoprotein secretion system, Type IV	6605	
Protein biosynthesis	178657	
Protein degradation	53797	
Protein export?	11193	
Protein folding	29291	
Protein processing and modification	48346	
Protein secretion system, Type I	633	
Protein secretion system, Type II	12975	
Protein secretion system, Type III	520	
Protein secretion system, Type V	112	
Protein secretion system, Type VI	10441	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	35	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	983	
Protein translocation across cytoplasmic membrane	17366	
Proteolytic pathway	70	
Purines	62224	
Putative GGDEF domain protein related to agglutinin secretion	275	
Putative Isoquinoline 1-oxidoreductase subunit	5444	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12702	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4094	
Pyridoxine	17520	
Pyrimidines	47477	
Pyruvate kinase associated cluster	3488	
Quinone cofactors	16936	
Quorum sensing and biofilm formation	3727	
RNA processing and modification	102491	
Recombination related cluster	1497	
Regulation of virulence	11066	
Related to Menaquinone-cytochrome C reductase 	468	
Resistance to antibiotics and toxic compounds	77865	
Reverse electron transport	175	
Riboflavin, FMN, FAD	8329	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7215	
Ribosome-related cluster	7464	
Sarcosine oxidase	2125	
Selenoproteins	16933	
Shiga toxin cluster	3574	
Siderophores	5631	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	81	
Sodium Ion-Coupled Energetics	563	
Spore DNA protection	3	
Sugar Phosphotransferase Systems, PTS	1942	
Sugar alcohols	28195	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7209	
Tetrapyrroles	27611	
Three hypotheticals linked to lipoprotein biosynthesis	1588	
TldD cluster	3597	
Toxins and superantigens	451	
Transcription	47459	
Translation	6319	
Transposable elements	5412	
Triacylglycerols	504	
Tricarboxylate transporter	7113	
Two related proteases	6947	
Uni- Sym- and Antiporters	3452	
alpha-proteobacterial cluster of hypotheticals	1081	
proteosome related	5042	
recX and regulatory cluster	2001	
tRNA sulfuration	2824	

