Taxon	
mgm4637828.3	
Plant Octadecanoids	23	
Plant-Prokaryote DOE project	321488	
Plasmid related functions	370	
Polysaccharides	20531	
Probably GTP or GMP signaling related	8260	
Probably Pyrimidine biosynthesis-related	2289	
Probably Ybbk-related hypothetical membrane proteins	1612	
Probably organic hydroperoxide resistance related hypothetical protein	999	
Programmed Cell Death and Toxin-antitoxin Systems	2139	
Proline and 4-hydroxyproline	15753	
Proteasome related clusters	71	
Protein and nucleoprotein secretion system, Type IV	6669	
Protein biosynthesis	180578	
Protein degradation	53688	
Protein export?	11206	
Protein folding	29536	
Protein processing and modification	47895	
Protein secretion system, Type I	678	
Protein secretion system, Type II	13102	
Protein secretion system, Type III	586	
Protein secretion system, Type V	136	
Protein secretion system, Type VI	10353	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	55	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	907	
Protein translocation across cytoplasmic membrane	17529	
Proteolytic pathway	83	
Purines	62035	
Putative GGDEF domain protein related to agglutinin secretion	277	
Putative Isoquinoline 1-oxidoreductase subunit	5617	
Putative asociate of RNA polymerase sigma-54 factor rpoN	12944	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4152	
Pyridoxine	17951	
Pyrimidines	47516	
Pyruvate kinase associated cluster	3549	
Quinone cofactors	16807	
Quorum sensing and biofilm formation	3603	
RNA processing and modification	102887	
Recombination related cluster	1462	
Regulation of virulence	10971	
Related to Menaquinone-cytochrome C reductase 	493	
Resistance to antibiotics and toxic compounds	77863	
Reverse electron transport	159	
Riboflavin, FMN, FAD	8477	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6974	
Ribosome-related cluster	7347	
Sarcosine oxidase	2123	
Selenoproteins	16702	
Shiga toxin cluster	3692	
Siderophores	5429	
Signal transduction in Eukaryotes	3	
Social motility and nonflagellar swimming in bacteria	88	
Sodium Ion-Coupled Energetics	522	
Spore DNA protection	9	
Sugar Phosphotransferase Systems, PTS	1851	
Sugar alcohols	27879	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6447	
Tetrapyrroles	27885	
Three hypotheticals linked to lipoprotein biosynthesis	1666	
TldD cluster	3707	
Toxins and superantigens	437	
Transcription	47405	
Translation	6289	
Transposable elements	5401	
Triacylglycerols	544	
Tricarboxylate transporter	7042	
Two related proteases	6988	
Uni- Sym- and Antiporters	3335	
alpha-proteobacterial cluster of hypotheticals	1082	
proteosome related	5265	
recX and regulatory cluster	2061	
tRNA sulfuration	2738	

